,month,cpi
356,1990.1,4.299999999999997
347,1990.10,3.0999999999999943
346,1990.11,3.700000000000003
345,1990.12,4.299999999999997
355,1990.2,4.400000000000006
354,1990.3,3.4000000000000057
353,1990.4,3.200000000000003
352,1990.5,2.700000000000003
351,1990.6,1.0999999999999943
350,1990.7,1.0999999999999943
349,1990.8,2.5
348,1990.9,2.9000000000000057
344,1991.1,2.200000000000003
335,1991.10,4.799999999999997
334,1991.11,4.400000000000006
333,1991.12,4.5
343,1991.2,1.0
342,1991.3,1.5999999999999943
341,1991.4,1.2999999999999972
340,1991.5,3.5999999999999943
339,1991.6,4.400000000000006
338,1991.7,4.700000000000003
337,1991.8,4.900000000000006
336,1991.9,4.5
332,1992.1,5.5
323,1992.10,7.900000000000006
322,1992.11,8.200000000000003
321,1992.12,8.799999999999997
331,1992.2,5.299999999999997
330,1992.3,5.299999999999997
329,1992.4,7.099999999999994
328,1992.5,4.700000000000003
327,1992.6,4.799999999999997
326,1992.7,5.200000000000003
325,1992.8,5.799999999999997
324,1992.9,7.5
320,1993.1,10.299999999999997
311,1993.10,15.900000000000006
310,1993.11,16.700000000000003
309,1993.12,18.799999999999997
319,1993.2,10.5
318,1993.3,12.200000000000003
317,1993.4,12.599999999999994
316,1993.5,14.0
315,1993.6,15.099999999999994
314,1993.7,16.200000000000003
313,1993.8,16.0
312,1993.9,15.700000000000003
308,1994.1,21.099999999999994
299,1994.10,27.700000000000003
298,1994.11,27.5
297,1994.12,25.5
307,1994.2,23.200000000000003
306,1994.3,22.400000000000006
305,1994.4,21.700000000000003
304,1994.5,21.299999999999997
303,1994.6,22.599999999999994
302,1994.7,24.0
301,1994.8,25.799999999999997
300,1994.9,27.299999999999997
296,1995.1,24.099999999999994
287,1995.10,12.099999999999994
286,1995.11,11.200000000000003
285,1995.12,10.099999999999994
295,1995.2,22.400000000000006
294,1995.3,21.299999999999997
293,1995.4,20.700000000000003
292,1995.5,20.299999999999997
291,1995.6,18.200000000000003
290,1995.7,16.700000000000003
289,1995.8,14.5
288,1995.9,13.200000000000003
284,1996.1,9.0
275,1996.10,7.0
274,1996.11,6.900000000000006
273,1996.12,7.0
283,1996.2,9.299999999999997
282,1996.3,9.799999999999997
281,1996.4,9.700000000000003
280,1996.5,8.900000000000006
279,1996.6,8.599999999999994
278,1996.7,8.299999999999997
277,1996.8,8.099999999999994
276,1996.9,7.400000000000006
272,1997.1,5.900000000000006
263,1997.10,1.5
262,1997.11,1.0999999999999943
261,1997.12,0.4000000000000057
271,1997.2,5.599999999999994
270,1997.3,4.0
269,1997.4,3.200000000000003
268,1997.5,2.799999999999997
267,1997.6,2.799999999999997
266,1997.7,2.700000000000003
265,1997.8,1.9000000000000057
264,1997.9,1.7999999999999972
260,1998.1,0.29999999999999716
251,1998.10,-1.0999999999999943
